"","Fold Change","log2(FC)"
"Q14CN4",4.7689,2.2537
"Q02413",0.21008,-2.251
"P35321",0.21055,-2.2477
"Q92820",0.21193,-2.2383
"P20160",0.21206,-2.2375
"IPI00295684",4.7063,2.2346
"Q9UBH0",0.21322,-2.2296
"Q9BRA2",0.21442,-2.2215
"IPI00479902",4.6556,2.219
"Q8NHB1",0.21518,-2.2164
"Q05639",0.2162,-2.2095
"Q9HD89",0.21672,-2.2061
"IPI00400826",4.5948,2.2
"P06312",0.21834,-2.1954
"P27348",0.21993,-2.1849
"P35326",0.21999,-2.1845
"P31146",0.22066,-2.1801
"Q6IS14",0.22123,-2.1764
"IPI00550315",4.5096,2.173
"P02788",0.22241,-2.1687
"P80748",0.22314,-2.164
"P61586",0.22384,-2.1595
"IPI00383111",4.4642,2.1584
"Q92876",0.22426,-2.1567
"P61970",0.22493,-2.1525
"IPI00550224",4.4237,2.1452
"P30044",0.22834,-2.1307
"A0A0B4J1U3",0.22839,-2.1304
"P09228",0.22915,-2.1256
"Q562R1",0.22988,-2.121
"O75368",0.23076,-2.1155
"Q14508",0.23143,-2.1114
"P23528",0.23287,-2.1024
"IPI00383717",4.2888,2.1006
"Q06830",0.23402,-2.0953
"Q86X29",4.2698,2.0942
"P00747",0.23429,-2.0936
"P01766",4.2563,2.0896
"IPI00384293",4.2471,2.0865
"Q14624",0.23559,-2.0857
"P15291",4.2065,2.0726
"Q9Y3D6",0.23845,-2.0683
"Q9BRK5",4.187,2.0659
"IPI00335614",4.1771,2.0625
"P0DUB6",0.2412,-2.0517
"A0A0C4DH38",0.24164,-2.0491
"P07237",0.24194,-2.0473
"P51149",0.24337,-2.0388
"P08779",4.1046,2.0372
"P02652",0.24378,-2.0364
"P07355",4.0984,2.035
"P05155",0.24506,-2.0288
"Q96HE7",0.24601,-2.0232
"Q14697",4.064,2.0229
"O95678",4.0572,2.0205
"P02538",4.0489,2.0175
"P16930",0.24761,-2.0139
"A0A0C4DH29",0.2494,-2.0035
"P02814",3.96,1.9855
"P00734",3.9598,1.9854
"P20930",0.25455,-1.974
"Q9UL72",3.9128,1.9682
"Q07960",0.25588,-1.9665
"Q13813",0.25705,-1.9599
"Q9NZT1",0.2595,-1.9462
"P22528",0.26427,-1.9199
"Q96RM1",0.26492,-1.9164
"P49189",0.2653,-1.9143
"P0DOX6",0.26538,-1.9139
"P54819",0.26601,-1.9104
"P07339",0.26763,-1.9017
"D9YZU5",3.7316,1.8998
"P02533",3.6934,1.8849
"P22735",0.27135,-1.8818
"P08758",3.6741,1.8774
"P22392",0.27252,-1.8755
"Q14739",0.27284,-1.8739
"P22792",0.27437,-1.8658
"Q9UHA7",0.27468,-1.8642
"P61916",0.27491,-1.863
"A0A075B6S5",0.27614,-1.8566
"P22532",0.27797,-1.847
"A0A0B4J2D9",0.27818,-1.8459
"A8MVU1",0.27819,-1.8459
"P04080",0.27853,-1.8441
"P35475",3.565,1.8339
"P58062",3.5378,1.8229
"P48594",0.28274,-1.8225
"O15145",0.28523,-1.8098
"P14314",0.28717,-1.8
"P46926",0.28738,-1.799
"P32119",0.28914,-1.7902
"P21128",0.29086,-1.7816
"Q9GZZ8",0.29215,-1.7752
"IPI00410714",3.4209,1.7744
"Q16777",0.29259,-1.7731
"P25311",0.29293,-1.7714
"O00462",3.3566,1.747
"Q9NZH8",0.29839,-1.7447
"O75874",0.29859,-1.7438
"Q9UL91",3.3383,1.7391
"A0A0B4J1X8",0.30125,-1.731
"P19827",0.30137,-1.7304
"P10153",0.30168,-1.7289
"IPI00333662",3.3146,1.7288
"P00751",0.30208,-1.727
"P01037",0.30228,-1.726
"P07602",0.30264,-1.7243
"A0A0B4J1V2",0.30598,-1.7085
"Q96KP4",0.30644,-1.7063
"P01857",0.30684,-1.7044
"P0DMN0",0.31002,-1.6896
"P06753",0.3103,-1.6883
"Q05315",0.3104,-1.6878
"Q15843",0.31064,-1.6867
"P61769",0.31277,-1.6768
"Q9BRF8",0.31282,-1.6766
"P01833",3.1939,1.6753
"P22079",0.31323,-1.6747
"IPI00292715",3.178,1.6681
"Q6P5S2",0.31472,-1.6679
"IPI00164540",3.1623,1.661
"P26641",0.31629,-1.6607
"Q9UBR2",3.1585,1.6592
"P07195",0.31675,-1.6586
"P04792",0.3172,-1.6565
"P01615",3.1415,1.6514
"Q99598",0.31987,-1.6444
"Q9UHL4",0.3218,-1.6358
"IPI00549576",3.0904,1.6278
"P15328",0.32358,-1.6278
"P12830",0.3236,-1.6277
"Q15080",0.32446,-1.6239
"P0CG39",0.3247,-1.6228
"P02749",0.33052,-1.5972
"B2R564",3.0077,1.5887
"P11217",3.0077,1.5887
"P21333",0.33412,-1.5816
"P01133",2.9912,1.5807
"Q16610",0.33591,-1.5739
"P36952",0.33707,-1.5689
"P00918",0.33749,-1.5671
"Q5T3N1",2.9614,1.5663
"P11279",0.33981,-1.5572
"Q10567",0.33982,-1.5572
"P60985",0.33984,-1.5571
"O14950",0.3403,-1.5551
"P01033",0.34382,-1.5403
"P09758",0.3444,-1.5378
"P34096",2.8865,1.5293
"IPI00514912",2.8839,1.528
"P01036",0.34752,-1.5248
"Q6UX73",0.34814,-1.5223
"IPI00414676",2.8591,1.5156
"IPI00334775",2.8591,1.5155
"Q86UX6",0.35241,-1.5047
"P01593",0.35429,-1.497
"P19971",0.35465,-1.4955
"IPI00549462",2.8095,1.4903
"P01602",2.8048,1.4879
"Q99459",0.35659,-1.4876
"A0A075B6H9",0.36013,-1.4734
"O95336",0.36094,-1.4702
"IPI00217966",2.7599,1.4646
"IPI00448938",2.7599,1.4646
"IPI00465436",2.7599,1.4646
"IPI00478540",2.7598,1.4646
"IPI00550462",2.7599,1.4646
"P01817",0.36254,-1.4638
"Q15293",2.7456,1.4571
"P25789",0.36444,-1.4563
"P26583",0.36447,-1.4561
"IPI00215997",2.7315,1.4497
"P01706",0.36685,-1.4468
"Q6UWP8",0.36767,-1.4435
"IPI00550142",2.7148,1.4409
"P12273",2.715,1.4409
"IPI00550751",2.7148,1.4408
"A0A0A0MT89",0.36877,-1.4392
"A0A075B6I0",0.36888,-1.4388
"IPI00550509",2.7103,1.4385
"P06310",2.6892,1.4272
"IPI00549682",2.6891,1.4271
"P27797",0.37234,-1.4253
"Q8N0Y7",0.37349,-1.4208
"P15515",2.6718,1.4178
"Q9HB90",0.37618,-1.4105
"P78380",0.37656,-1.409
"Q15631",0.37695,-1.4076
"P08311",0.37806,-1.4033
"P30740",0.38038,-1.3945
"IPI00549998",2.6247,1.3921
"P02753",0.38348,-1.3828
"IPI00549304",2.6074,1.3826
"P13693",0.38624,-1.3724
"IPI00550945",2.5796,1.3672
"IPI00332828",2.5616,1.3571
"P0DJI8",2.5581,1.3551
"P55058",0.39153,-1.3528
"IPI00448925",2.5474,1.349
"O75882",2.5466,1.3486
"IPI00549482",2.5311,1.3398
"P02812",2.5311,1.3398
"P15104",0.3952,-1.3394
"IPI00383467",2.5231,1.3352
"Q5TEC6",0.39655,-1.3344
"IPI00385332",2.512,1.3289
"IPI00478816",2.5122,1.3289
"IPI00383539",2.512,1.3288
"IPI00479805",2.5119,1.3288
"Q540F3",2.512,1.3288
"P13987",0.39914,-1.325
"Q6MZV7",2.5013,1.3227
"IPI00472762",2.499,1.3213
"IPI00103397",2.4975,1.3205
"O75372",2.4975,1.3205
"Q9UGM3",0.4028,-1.3119
"P15924",2.4724,1.3059
"IPI00027230",2.4624,1.3001
"O00584",0.40691,-1.2972
"Q6N094",2.453,1.2945
"Q68CZ6",0.40913,-1.2894
"Q04118",2.443,1.2886
"P52907",0.40959,-1.2878
"IPI00479186",2.4412,1.2876
"P01619",0.41031,-1.2852
"IPI00021827",2.4294,1.2806
"Q14533",2.4295,1.2806
"IPI00291641",2.4189,1.2744
"Q6ZVX7",0.41435,-1.2711
"IPI00550640",2.4129,1.2707
"P00558",0.41698,-1.262
"P30048",0.4175,-1.2601
"IPI00024102",2.3881,1.2558
"P23083",2.3845,1.2537
"IPI00465186",2.3843,1.2536
"IPI00107831",2.3842,1.2535
"IPI00218528",2.3841,1.2535
"IPI00430840",2.3831,1.2529
"P48637",0.42015,-1.251
"P02654",0.4206,-1.2495
"P17174",0.42075,-1.249
"P14550",0.42086,-1.2486
"P31997",0.42338,-1.24
"G3V1R1",2.3614,1.2396
"Q6N089",2.356,1.2363
"O75506",0.42568,-1.2322
"IPI00549769",2.3424,1.228
"P49788",0.42712,-1.2273
"Q86T26",0.42714,-1.2272
"P06576",0.42785,-1.2248
"IPI00472610",2.335,1.2234
"IPI00550438",2.3303,1.2205
"Q5SNT2",0.42975,-1.2184
"IPI00066193",2.3147,1.2108
"Q96QS0",2.3147,1.2108
"Q56UQ5",0.43219,-1.2103
"P07996",2.3067,1.2058
"Q92882",0.43432,-1.2032
"P60953",0.43434,-1.2031
"Q6MZX7",2.3023,1.2031
"IPI00478198",2.2998,1.2015
"O60610",0.43808,-1.1907
"A8MTJ3",0.43912,-1.1873
"B2CIS9",2.2641,1.179
"IPI00008964",2.2642,1.179
"IPI00219446",2.2641,1.179
"IPI00296183",2.2641,1.179
"IPI00329760",2.2642,1.179
"IPI00383758",2.2642,1.179
"IPI00413508",2.2642,1.179
"IPI00479981",2.2641,1.179
"IPI00549190",2.2642,1.179
"IPI00550166",2.2642,1.179
"P35030",2.2641,1.179
"P35325",2.2642,1.179
"Q5NV82",2.2642,1.179
"Q6MZQ6",2.2642,1.179
"Q96MH4",2.2642,1.179
"X6R8F3",2.2642,1.179
"A2RTY6",2.264,1.1789
"IPI00186581",2.2641,1.1789
"IPI00398855",2.2641,1.1789
"O14672",2.2641,1.1789
"P58107",0.44383,-1.1719
"P0DP57",0.4443,-1.1704
"IPI00165652",2.2452,1.1669
"P13637",2.2453,1.1669
"Q9HB00",2.2452,1.1669
"Q9UL74",2.2452,1.1669
"P43166",0.45138,-1.1476
"IPI00441196",2.2146,1.147
"P48147",0.45185,-1.1461
"P62314",0.45183,-1.1461
"A8KA82",2.2105,1.1444
"P08865",0.45248,-1.1441
"P55263",0.45264,-1.1436
"IPI00382405",2.2016,1.1385
"Q99574",2.1986,1.1366
"P62820",0.45537,-1.1349
"P58499",2.1951,1.1343
"IPI00477336",2.1933,1.1331
"IPI00514090",2.1934,1.1331
"IPI00165949",2.1897,1.1307
"IPI00301185",2.1896,1.1307
"IPI00306719",2.1897,1.1307
"Q86VR7",2.1833,1.1265
"Q6FIF1",2.1815,1.1254
"IPI00550061",2.1767,1.1221
"IPI00384783",2.1758,1.1215
"P16870",0.46137,-1.116
"P07711",2.1662,1.1152
"P54802",2.1658,1.1149
"IPI00027192",2.1527,1.1061
"Q08380",0.46713,-1.0981
"IPI00021405",2.1402,1.0978
"IPI00037070",2.1402,1.0978
"P48163",0.46865,-1.0934
"P11021",0.47256,-1.0814
"IPI00219757",2.1154,1.081
"IPI00218462",2.1064,1.0748
"IPI00332887",2.1064,1.0748
"IPI00383814",2.1064,1.0748
"IPI00162735",2.1063,1.0747
"IPI00168884",2.1063,1.0747
"IPI00218609",2.1063,1.0747
"IPI00333140",2.1064,1.0747
"IPI00418376",2.1063,1.0747
"IPI00465431",2.1063,1.0747
"Q8TE63",2.1063,1.0747
"IPI00418813",2.0989,1.0697
"IPI00471928",2.0989,1.0697
"IPI00549725",2.0989,1.0697
"Q6ZP85",2.0989,1.0697
"P25705",2.0989,1.0696
"P01763",0.4822,-1.0523
"IPI00174541",2.0659,1.0468
"IPI00216691",2.0659,1.0468
"P43490",0.48422,-1.0463
"Q86YZ3",2.06,1.0426
"P06870",2.0589,1.0419
"Q7Z3Y6",2.0517,1.0368
"Q9HCC1",2.0368,1.0263
"Q7M4Q5",2.0273,1.0195
"IPI00419164",2.0255,1.0183
"Q9P173",2.0249,1.0178
"IPI00455222",2.0229,1.0165
"Q5NV81",2.023,1.0165
"P08195",2.0164,1.0118
"P13688",2.0164,1.0118
"IPI00032179",2.0163,1.0117
"IPI00059366",2.0163,1.0117
"IPI00148096",2.0163,1.0117
"IPI00220642",2.0163,1.0117
"IPI00292993",2.0163,1.0117
"IPI00299571",2.0163,1.0117
"IPI00304171",2.0164,1.0117
"IPI00550861",2.0164,1.0117
"P01597",2.0163,1.0117
"P08493",2.0163,1.0117
"P45877",2.0163,1.0117
"Q5VY30",2.0163,1.0117
"Q86XD5",2.0163,1.0117
"Q15582",2.0143,1.0103
"P61604",0.49722,-1.0081
"P28325",0.49824,-1.0051
"IPI00419262",2.0021,1.0015
"Q9UL94",2.0021,1.0015
