"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"IPI00385332","-3.974326","-3.974326","-3.974326","-3.275356","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-2.839757","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326","-3.974326"
"IPI00385804","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-3.907350","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319","-4.606319"
"IPI00386259","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-4.652670","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637","-5.351637"
"IPI00386438","-2.699111","-3.677888","-2.032334","-2.595459","-3.677888","-2.978918","-3.677888","-2.944564","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888","-3.677888"
"IPI00386604","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-3.921326","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296","-4.620296"
"IPI00386785","-2.496798","-2.406427","-2.830020","-2.504778","-3.528990","-2.299482","-2.287148","-2.441221","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990","-3.528990"
"IPI00394834","-5.162032","-5.162032","-5.162032","-4.463063","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-4.425390","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032","-5.162032"
"IPI00395398","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-4.575282","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249","-5.274249"
"IPI00395655","-2.192149","-2.402808","-2.525370","-3.224340","-3.224340","-2.074014","-2.283529","-2.437601","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340","-3.224340"
"IPI00396485","-5.244123","-5.244123","-5.244123","-4.545155","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-4.507519","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123","-5.244123"
"IPI00397198","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-4.656985","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952","-5.355952"
"IPI00397676","-5.004276","-5.004276","-5.004276","-4.305307","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276","-5.004276"
"IPI00397801","-4.930183","-4.930183","-4.930183","-4.231214","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183","-4.930183"
"IPI00397949","-5.083440","-5.083440","-5.083440","-4.246034","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-4.384471","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440","-5.083440"
"IPI00398855","-4.883990","-4.883990","-4.883990","-4.185020","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-3.846368","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990","-4.883990"
"IPI00399190","-5.608701","-5.608701","-5.608701","-4.909742","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701","-5.608701"
"IPI00399193","-4.829679","-4.829679","-4.829679","-4.089162","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.130710","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679","-4.829679"
"IPI00400826","-2.814619","-4.205944","-4.205944","-3.094663","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-3.506974","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944","-4.205944"
"IPI00401614","-4.316827","-4.316827","-4.316827","-3.617857","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-3.542406","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827","-4.316827"
"IPI00410017","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.109411","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381","-4.808381"
"IPI00410240","-4.755426","-4.755426","-4.755426","-4.056456","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426","-4.755426"
"IPI00410377","-4.642065","-4.642065","-4.642065","-3.943095","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065","-4.642065"
"IPI00410714","-4.260333","-4.260333","-4.260333","-3.561363","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-2.886876","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333","-4.260333"
"IPI00411680","-4.695768","-4.695768","-4.695768","-3.996798","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768","-4.695768"
"IPI00411692","-4.839831","-4.839831","-4.839831","-4.140862","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831","-4.839831"
"IPI00411834","-3.742470","-3.742470","-3.043500","-3.742470","-3.742470","-3.742470","-3.742470","-2.955731","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470","-3.742470"
"IPI00411959","-3.321882","-3.231510","-3.655097","-4.354067","-4.354067","-3.601678","-3.112231","-4.354067","-4.354067","-3.402414","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067","-4.354067"
"IPI00412044","-3.020575","-2.930206","-3.353792","-3.490959","-4.189929","-3.300379","-2.810925","-4.189929","-4.189929","-3.174541","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929","-4.189929"
"IPI00412365","-3.966906","-3.966906","-2.566377","-3.202933","-3.966906","-3.966906","-3.966906","-2.654701","-3.966906","-3.267936","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906","-3.966906"
"IPI00412473","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-3.785554","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523","-4.484523"
"IPI00412608","-2.181107","-2.391766","-2.514328","-2.408447","-3.213298","-2.062972","-2.272487","-2.426560","-3.213298","-2.383379","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298","-3.213298"
"IPI00412681","-4.984221","-4.984221","-4.984221","-4.285251","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221","-4.984221"
"IPI00412853","-2.964198","-2.873830","-3.297423","-3.996393","-3.996393","-3.244003","-2.754549","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393","-3.996393"
"IPI00412929","-3.305386","-3.215019","-3.638612","-3.508596","-4.337582","-3.585194","-3.095739","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582","-4.337582"
"IPI00413112","-4.805263","-4.805263","-4.805263","-4.106294","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263","-4.805263"
"IPI00413201","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-3.933711","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681","-4.632681"
"IPI00413508","-4.524677","-4.524677","-4.524677","-3.825708","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-3.487022","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677","-4.524677"
"IPI00413800","-3.207854","-3.117481","-3.541075","-4.240045","-4.240045","-3.487663","-2.998206","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045","-4.240045"
"IPI00413826","-4.417664","-4.417664","-4.417664","-3.718694","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664"
"IPI00413835","-3.242209","-3.151842","-3.575429","-4.274399","-4.274399","-3.522011","-3.032560","-4.274399","-4.274399","-3.407757","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399","-4.274399"
"IPI00413922","-4.463113","-4.463113","-4.463113","-3.764143","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113","-4.463113"
"IPI00414123","-4.893401","-4.893401","-4.893401","-4.194431","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401","-4.893401"
"IPI00414138","-4.507743","-4.507743","-4.507743","-3.749507","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-3.808773","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743","-4.507743"
"IPI00414283","-4.998266","-4.998266","-4.998266","-4.299296","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.261616","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266","-4.998266"
"IPI00414315","-4.772679","-4.772679","-4.772679","-4.073709","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679","-4.772679"
"IPI00414489","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-3.790539","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509","-4.489509"
"IPI00414499","-4.756862","-4.756862","-4.756862","-4.057893","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862","-4.756862"
"IPI00414676","-4.766445","-4.766445","-4.766445","-4.067475","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-3.524648","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445","-4.766445"
"IPI00414759","-4.768428","-4.768428","-4.768428","-4.069458","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428","-4.768428"
"IPI00414913","-4.161113","-4.161113","-4.161113","-3.462143","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113","-4.161113"
"IPI00415056","-3.317268","-3.226901","-3.650489","-3.497614","-4.349459","-3.597068","-3.107622","-4.349459","-4.349459","-3.295146","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459","-4.349459"
"IPI00418376","-4.532037","-4.532037","-4.532037","-3.569683","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-3.833067","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037","-4.532037"
"IPI00418411","-4.171611","-4.171611","-2.306196","-3.334203","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-3.472641","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611","-4.171611"
"IPI00418422","-5.044504","-5.044504","-5.044504","-4.345535","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504","-5.044504"
"IPI00418446","-4.77640","-4.77640","-4.77640","-4.07743","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640","-4.77640"
"IPI00418471","-4.815592","-4.815592","-4.815592","-4.116622","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-3.954051","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592","-4.815592"
"IPI00418512","-3.366420","-3.276052","-3.699644","-3.525041","-4.398614","-3.646218","-3.156773","-4.398614","-4.398614","-3.267663","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614","-4.398614"
"IPI00418800","-3.270824","-3.270824","-2.571854","-3.270824","-3.270824","-3.270824","-3.270824","-2.484085","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824","-3.270824"
"IPI00418813","-4.377558","-4.377558","-4.377558","-3.678588","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-3.419075","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558","-4.377558"
"IPI00419164","-4.284766","-4.284766","-4.284766","-3.585796","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-3.366723","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766","-4.284766"
"IPI00419219","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.064241","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211","-4.763211"
"IPI00419262","-3.802775","-3.802775","-3.802775","-2.898425","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.103805","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775","-3.802775"
"IPI00419307","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.141523","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493","-4.840493"
"IPI00419424","-2.512722","-2.121320","-2.368821","-2.339646","-3.211692","-2.014375","-2.303072","-2.281053","-3.211692","-2.337986","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692","-3.211692"
"IPI00419517","-4.062282","-4.062282","-4.062282","-3.363312","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282","-4.062282"
"IPI00419574","-3.753354","-3.753354","-3.054384","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354","-3.753354"
"IPI00419585","-3.888596","-3.888596","-3.888596","-3.189626","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.027029","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596","-3.888596"
"IPI00419920","-4.669383","-4.669383","-4.669383","-3.970413","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383","-4.669383"
"IPI00420079","-4.265728","-4.265728","-4.265728","-3.400292","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-3.566758","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728","-4.265728"
"IPI00423462","-2.220292","-1.953829","-2.252483","-2.317297","-3.016267","-2.102156","-1.913732","-2.222706","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267","-3.016267"
"IPI00425976","-4.103672","-4.103672","-4.103672","-3.404702","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672","-4.103672"
"IPI00430820","-2.485850","-2.094448","-2.341949","-2.322758","-3.184820","-2.066684","-2.276200","-2.254181","-3.184820","-2.321972","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820","-3.184820"
"IPI00430840","-3.888785","-3.888785","-3.888785","-3.189815","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-2.801912","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785","-3.888785"
"IPI00430844","-2.316179","-2.003959","-2.427551","-2.290549","-3.135662","-2.294953","-2.106528","-2.436692","-3.135662","-2.328392","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662","-3.135662"
"IPI00430847","-2.487693","-2.096292","-2.343793","-2.295313","-3.186663","-2.068528","-2.278044","-2.256025","-3.186663","-2.281924","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663","-3.186663"
"IPI00430848","-2.502171","-2.110770","-2.358271","-2.305096","-3.201141","-2.083006","-2.292522","-2.270502","-3.201141","-2.306502","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141"
"IPI00430856","-3.498399","-3.498399","-3.498399","-2.799429","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399","-3.498399"
"IPI00431749","-4.541332","-4.541332","-2.501080","-3.842362","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-3.804709","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332","-4.541332"
"IPI00432063","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-3.674607","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577"
"IPI00433678","-2.317088","-2.004868","-2.428460","-2.307938","-3.136571","-2.295863","-2.107439","-2.437601","-3.136571","-2.354772","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571","-3.136571"
"IPI00437593","-5.527529","-5.527529","-5.527529","-4.828566","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529","-5.527529"
"IPI00437847","-4.917573","-4.917573","-4.917573","-4.218604","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573","-4.917573"
"IPI00440162","-2.457327","-2.457327","-2.457327","-1.758357","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-1.647616","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327","-2.457327"
"IPI00440577","-2.493180","-2.101778","-2.349280","-2.310344","-3.192150","-2.074014","-2.283529","-2.261510","-3.192150","-2.318444","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150","-3.192150"
"IPI00441196","-3.951581","-3.951581","-3.951581","-3.252611","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-2.936201","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581","-3.951581"
"IPI00443478","-3.003298","-3.003298","-2.304328","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298","-3.003298"
"IPI00446503","-2.207327","-1.940864","-2.239518","-2.318343","-3.057415","-2.089192","-1.900767","-2.209741","-3.057415","-2.358445","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415","-3.057415"
"IPI00447449","-2.175480","-2.386138","-2.508700","-3.207670","-3.207670","-2.154254","-2.266859","-2.420931","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670","-3.207670"
"IPI00448707","-2.502171","-2.110770","-2.358271","-2.319336","-3.201141","-2.083006","-2.292522","-2.270502","-3.201141","-2.311642","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141","-3.201141"
"IPI00448734","-4.43335","-4.43335","-4.43335","-3.73438","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335","-4.43335"
"IPI00448792","-4.580804","-4.580804","-4.580804","-3.881835","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-3.719217","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804","-4.580804"
"IPI00448845","-2.498597","-2.107196","-2.354697","-2.335506","-3.197567","-2.079432","-2.288947","-2.266928","-3.197567","-2.334719","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567","-3.197567"
"IPI00448925","-4.017286","-4.017286","-4.017286","-3.318316","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-2.870487","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286","-4.017286"
"IPI00448938","-4.052213","-4.052213","-4.052213","-3.353243","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-2.838461","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213","-4.052213"
"IPI00448984","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-2.856436","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406","-3.555406"
"IPI00450931","-2.503948","-2.413577","-2.837170","-2.497203","-3.536140","-2.306631","-2.294298","-2.448369","-3.536140","-2.513421","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140","-3.536140"
"IPI00454960","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-4.337053","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023","-5.036023"
"IPI00455222","-4.439591","-4.439591","-4.439591","-3.523009","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-3.740621","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591","-4.439591"
"IPI00455296","-5.250725","-5.250725","-5.250725","-4.464579","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-4.551758","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725","-5.250725"
"IPI00455326","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-2.896792","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762","-3.595762"
"IPI00455383","-4.845211","-4.845211","-4.845211","-4.146241","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.108630","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211","-4.845211"
