"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"Q99895","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817","-4.311847","-5.010817","-5.010817","-5.010817","-5.010817","-5.010817"
"Q9BQ66","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-3.674607","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577","-4.373577"
"Q9BQE3","-4.006952","-4.006952","-4.006952","-3.307982","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952","-4.006952"
"Q9BQR3","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.009883","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-4.708853","-3.745259","-4.708853","-4.708853"
"Q9BRA2","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.741506","-4.042536","-4.006608","-4.741506","-4.013228","-4.741506","-4.014259","-4.741506","-3.673787","-4.007270","-4.008198"
"Q9BRF8","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-5.119185","-4.376441","-4.420216","-5.119185","-4.120273","-5.119185","-4.381847","-5.119185","-5.119185"
"Q9BRK5","-5.176003","-5.176003","-5.176003","-3.599808","-5.176003","-5.176003","-5.176003","-5.176003","-5.176003","-3.407235","-5.176003","-5.176003","-5.176003","-5.176003","-4.180983","-5.176003","-5.176003","-5.176003","-5.176003","-5.176003","-4.477034"
"Q9BRL5","-4.112754","-4.112754","-4.112754","-3.354538","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-3.413784","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754","-4.112754"
"Q9BRQ8","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-2.966295","-4.642103","-4.642103","-4.642103","-3.943133","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103","-4.642103"
"Q9BRZ2","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-5.529582","-4.830619","-5.529582","-4.456429","-4.801343","-4.460673","-4.802168","-4.482672","-4.461803","-5.529582","-4.495257"
"Q9BUP0","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-4.257904","-4.301725","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695","-5.000695"
"Q9BVA1","-4.003068","-4.003068","-4.003068","-3.304098","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068","-4.003068"
"Q9BYE4","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.708498","-3.009528","-3.708498","-3.708498","-3.708498","-3.708498"
"Q9BYF7","-4.110788","-4.110788","-4.110788","-3.411818","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-3.336374","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788","-4.110788"
"Q9BYQ5","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-3.656966","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936","-4.355936"
