"Gene","FC","log2(FC)","raw.pval","-log10(p)"
"P01031",0.10767,-3.2153,3.4592e-05,4.461
"P02679",0.19465,-2.3611,3.7326e-05,4.428
"P0DOX3",0.083174,-3.5877,3.9772e-05,4.4004
"P61916",0.27491,-1.863,4.0176e-05,4.396
"P02788",0.22241,-2.1687,4.0322e-05,4.3945
"P01042",0.1015,-3.3004,4.3555e-05,4.361
"P07339",0.26763,-1.9017,4.4555e-05,4.3511
"P62987",0.15036,-2.7335,4.5481e-05,4.3422
"P02671",0.17798,-2.4902,4.6091e-05,4.3364
"P68871",0.014146,-6.1435,5.1717e-05,4.2864
"P13646-1",0.020979,-5.5749,5.3074e-05,4.2751
"P69905",0.021613,-5.532,6.7658e-05,4.1697
"P00390",0.071447,-3.807,6.8349e-05,4.1653
"P12814",0.078449,-3.6721,7.0153e-05,4.154
"P01033",0.34382,-1.5403,7.461e-05,4.1272
"P09960",0.19227,-2.3788,8.4156e-05,4.0749
"P23280",0.19764,-2.339,8.5494e-05,4.0681
"P14780",0.10326,-3.2757,8.8103e-05,4.055
"Q9UHA7",0.27468,-1.8642,8.9254e-05,4.0494
"Q9HC84",0.17977,-2.4758,9.4735e-05,4.0235
"P04114",0.027461,-5.1865,0.00010467,3.9802
"Q9Y3D6",0.23845,-2.0683,0.00012168,3.9148
"Q6PIL8",5.2091,2.381,0.000122,3.9137
"V9HW34",5.1911,2.376,0.00012279,3.9108
"Q6PJF2",5.174,2.3713,0.00012357,3.9081
"P22079",0.31323,-1.6747,0.00012553,3.9013
"IPI00061977",5.6186,2.4902,0.00012806,3.8926
"Q7Z379",5.1318,2.3595,0.00012878,3.8902
"P0DUB6",0.2412,-2.0517,0.00012897,3.8895
"Q6N090",5.7829,2.5318,0.00013508,3.8694
"P00738",0.11132,-3.1673,0.00013597,3.8666
"IPI00430847",6.6225,2.7274,0.00013756,3.8615
"IPI00430848",6.6134,2.7254,0.0001377,3.8611
"IPI00448707",6.5819,2.7185,0.00013841,3.8588
"P35321",0.21055,-2.2477,0.00013863,3.8581
"IPI00440577",6.5567,2.713,0.00013906,3.8568
"Q6GMX0",6.5252,2.706,0.00013999,3.8539
"IPI00448845",6.5092,2.7025,0.00014053,3.8522
"Q7Z3Y4",6.5092,2.7025,0.00014053,3.8522
"IPI00430820",6.5092,2.7025,0.00014053,3.8522
"Q6P5S8",6.5008,2.7006,0.00014084,3.8513
"IPI00472961",6.4777,2.6955,0.00014175,3.8485
"P60660",0.15036,-2.7335,0.00014332,3.8437
"Q7Z2U7",5.76,2.5261,0.00014401,3.8416
"Q6IN99",5.7163,2.5151,0.00014761,3.8309
"IPI00450931",9.1054,3.1867,0.00014793,3.8299
"Q6GMW4",9.1039,3.1865,0.00014808,3.8295
"P15328",0.32358,-1.6278,0.00014932,3.8259
"Q8TCD0",6.8912,2.7848,0.00014948,3.8254
"Q6GMV7",9,3.1699,0.00014989,3.8242
"Q8N355",6.2302,2.6393,0.00014999,3.8239
"IPI00550296",6.3101,2.6577,0.00015004,3.8238
"Q8NEJ1",5.6817,2.5063,0.00015109,3.8208
"IPI00419424",6.78,2.7613,0.0001528,3.8159
"P13987",0.39914,-1.325,0.00015402,3.8124
"IPI00412608",6.1383,2.6178,0.00015414,3.8121
"Q6MZV6",5.8622,2.5514,0.00015881,3.7991
"IPI00430844",5.8443,2.547,0.00015953,3.7972
"Q6P089",5.8407,2.5461,0.00015973,3.7966
"IPI00384948",5.8339,2.5445,0.00015991,3.7961
"P01034",0.15907,-2.6523,0.00016029,3.7951
"Q96K68",6.1686,2.6249,0.00016087,3.7935
"Q6PJG0",6.0246,2.5909,0.00016225,3.7898
"IPI00433678",5.7874,2.5329,0.00016234,3.7896
"Q6ZVX0",5.7739,2.5295,0.00016285,3.7882
"Q9NPP6",5.7564,2.5252,0.00016387,3.7855
"Q8NCL6",6.1353,2.6171,0.00016452,3.7838
"P01593",0.35429,-1.497,0.00016566,3.7808
"Q6MZX9",5.7284,2.5181,0.00016567,3.7808
"Q6MZW0",6.3983,2.6777,0.00016674,3.778
"P52566",0.10237,-3.2881,0.0001682,3.7742
"IPI00550976",6.5366,2.7085,0.00016945,3.7709
"IPI00550996",7.1552,2.839,0.00017035,3.7686
"IPI00446503",6.4452,2.6882,0.00017053,3.7682
"IPI00550162",7.7143,2.9475,0.00017483,3.7574
"IPI00480034",9.0112,3.1717,0.00017653,3.7532
"IPI00472226",6.4712,2.694,0.00017705,3.7519
"IPI00477644",8.4938,3.0864,0.00017806,3.7494
"P09228",0.22915,-2.1256,0.00017825,3.749
"IPI00550048",11.851,3.567,0.00017949,3.746
"Q9BRA2",0.21442,-2.2215,0.00017979,3.7452
"IPI00551005",9.863,3.302,0.00018012,3.7444
"IPI00549363",6.8242,2.7707,0.00018377,3.7357
"IPI00549705",9.54,3.254,0.0001875,3.727
"IPI00166866",6.2455,2.6428,0.00018839,3.7249
"IPI00473015",6.4042,2.679,0.00018995,3.7214
"Q9UM07",0.19065,-2.391,0.0001922,3.7162
"IPI00549485",7.4635,2.8999,0.00019296,3.7145
"IPI00479461",10.4,3.3786,0.00019338,3.7136
"IPI00550213",8.1585,3.0283,0.00019366,3.713
"IPI00550392",8.2584,3.0459,0.00019773,3.7039
"A2NJV5",0.096892,-3.3675,0.00019968,3.6997
"Q14602",0.18965,-2.3986,0.00020008,3.6988
"Q66K66",0.17297,-2.5314,0.00020495,3.6883
"A0A087WSY4",0.15369,-2.7019,0.00020702,3.684
"IPI00550508",7.7316,2.9508,0.00021109,3.6755
"O00584",0.40691,-1.2972,0.00021198,3.6737
"A0A0C4DH34",0.094594,-3.4021,0.00021473,3.6681
"IPI00550062",7.7966,2.9628,0.00022112,3.6554
"IPI00549788",7.7966,2.9628,0.00022112,3.6554
"P30740",0.38038,-1.3945,0.00022485,3.6481
