"Common A B"	"Unique A"	"Unique B"
NA	"IPI00186299"	NA
NA	"IPI00186581"	NA
NA	"IPI00187003"	NA
NA	"IPI00215699"	NA
NA	"IPI00215729"	NA
NA	"IPI00215730"	NA
NA	"IPI00215743"	NA
NA	"IPI00215753"	NA
NA	"IPI00215756"	NA
NA	"IPI00215758"	NA
NA	"IPI00215759"	NA
NA	"IPI00215919"	NA
NA	"IPI00215946"	NA
NA	"IPI00215992"	NA
NA	"IPI00215997"	NA
NA	"IPI00216008"	NA
NA	"IPI00216024"	NA
NA	"IPI00216026"	NA
NA	"IPI00216027"	NA
NA	"IPI00216039"	NA
NA	"IPI00216106"	NA
NA	"IPI00216115"	NA
NA	"IPI00216268"	NA
NA	"IPI00216269"	NA
NA	"IPI00216279"	NA
NA	"IPI00216308"	NA
NA	"IPI00216318"	NA
NA	"IPI00216457"	NA
NA	"IPI00216550"	NA
NA	"IPI00216691"	NA
NA	"IPI00216910"	NA
NA	"IPI00216952"	NA
NA	"IPI00216953"	NA
NA	"IPI00216983"	NA
NA	"IPI00216984"	NA
NA	"IPI00217185"	NA
NA	"IPI00217465"	NA
NA	"IPI00217871"	NA
NA	"IPI00217966"	NA
NA	"IPI00218109"	NA
NA	"IPI00218192"	NA
NA	"IPI00218414"	NA
NA	"IPI00218461"	NA
NA	"IPI00218462"	NA
NA	"IPI00218528"	NA
NA	"IPI00218609"	NA
NA	"IPI00218889"	NA
NA	"IPI00218919"	NA
NA	"IPI00218928"	NA
NA	"IPI00218935"	NA
NA	"IPI00218993"	NA
NA	"IPI00219018"	NA
NA	"IPI00219037"	NA
NA	"IPI00219041"	NA
NA	"IPI00219165"	NA
NA	"IPI00219166"	NA
NA	"IPI00219182"	NA
NA	"IPI00219183"	NA
NA	"IPI00219185"	NA
NA	"IPI00219186"	NA
NA	"IPI00219187"	NA
NA	"IPI00219446"	NA
NA	"IPI00219480"	NA
NA	"IPI00219525"	NA
NA	"IPI00219526"	NA
NA	"IPI00219713"	NA
NA	"IPI00219725"	NA
NA	"IPI00219726"	NA
NA	"IPI00219727"	NA
NA	"IPI00219728"	NA
NA	"IPI00219730"	NA
NA	"IPI00219731"	NA
NA	"IPI00219732"	NA
NA	"IPI00219733"	NA
NA	"IPI00219734"	NA
NA	"IPI00219735"	NA
NA	"IPI00219737"	NA
NA	"IPI00219738"	NA
NA	"IPI00219739"	NA
NA	"IPI00219741"	NA
NA	"IPI00219742"	NA
NA	"IPI00219743"	NA
NA	"IPI00219744"	NA
NA	"IPI00219745"	NA
NA	"IPI00219746"	NA
NA	"IPI00219757"	NA
NA	"IPI00219824"	NA
NA	"IPI00219835"	NA
NA	"IPI00219919"	NA
NA	"IPI00219996"	NA
NA	"IPI00220113"	NA
NA	"IPI00220146"	NA
NA	"IPI00220155"	NA
NA	"IPI00220171"	NA
NA	"IPI00220173"	NA
NA	"IPI00220174"	NA
NA	"IPI00220175"	NA
NA	"IPI00220301"	NA
NA	"IPI00220391"	NA
NA	"IPI00220494"	NA
NA	"IPI00220558"	NA
NA	"IPI00220613"	NA
NA	"IPI00220642"	NA
NA	"IPI00220644"	NA
NA	"IPI00220740"	NA
NA	"IPI00220855"	NA
NA	"IPI00220967"	NA
NA	"IPI00220985"	NA
NA	"IPI00221038"	NA
NA	"IPI00221225"	NA
NA	"IPI00236149"	NA
NA	"IPI00236554"	NA
NA	"IPI00236556"	NA
NA	"IPI00240503"	NA
NA	"IPI00243603"	NA
NA	"IPI00248359"	NA
NA	"IPI00255316"	NA
NA	"IPI00289800"	NA
NA	"IPI00289870"	NA
NA	"IPI00289877"	NA
NA	"IPI00289983"	NA
NA	"IPI00290078"	NA
NA	"IPI00290410"	NA
NA	"IPI00290416"	NA
NA	"IPI00291005"	NA
NA	"IPI00291641"	NA
NA	"IPI00291866"	NA
NA	"IPI00291928"	NA
NA	"IPI00292715"	NA
NA	"IPI00292993"	NA
NA	"IPI00293276"	NA
NA	"IPI00293539"	NA
NA	"IPI00293659"	NA
NA	"IPI00293683"	NA
NA	"IPI00293867"	NA
NA	"IPI00295386"	NA
NA	"IPI00295684"	NA
NA	"IPI00296120"	NA
NA	"IPI00296170"	NA
NA	"IPI00296183"	NA
NA	"IPI00296197"	NA
NA	"IPI00296526"	NA
NA	"IPI00297160"	NA
NA	"IPI00297412"	NA
NA	"IPI00297959"	NA
NA	"IPI00298082"	NA
NA	"IPI00298090"	NA
NA	"IPI00298237"	NA
NA	"IPI00298994"	NA
NA	"IPI00299024"	NA
NA	"IPI00299103"	NA
NA	"IPI00299453"	NA
NA	"IPI00299571"	NA
NA	"IPI00299573"	NA
NA	"IPI00299633"	NA
NA	"IPI00300265"	NA
NA	"IPI00300659"	NA
NA	"IPI00301185"	NA
NA	"IPI00302592"	NA
NA	"IPI00302679"	NA
NA	"IPI00303063"	NA
NA	"IPI00303133"	NA
NA	"IPI00303434"	NA
NA	"IPI00304171"	NA
NA	"IPI00306719"	NA
NA	"IPI00306933"	NA
NA	"IPI00328130"	NA
NA	"IPI00328348"	NA
NA	"IPI00328609"	NA
NA	"IPI00328680"	NA
NA	"IPI00328781"	NA
NA	"IPI00329213"	NA
NA	"IPI00329305"	NA
NA	"IPI00329306"	NA
NA	"IPI00329331"	NA
NA	"IPI00329538"	NA
NA	"IPI00329665"	NA
NA	"IPI00329685"	NA
NA	"IPI00329760"	NA
NA	"IPI00332271"	NA
NA	"IPI00332272"	NA
NA	"IPI00332273"	NA
NA	"IPI00332489"	NA
NA	"IPI00332588"	NA
NA	"IPI00332711"	NA
NA	"IPI00332828"	NA
NA	"IPI00332887"	NA
NA	"IPI00333140"	NA
NA	"IPI00333234"	NA
NA	"IPI00333429"	NA
NA	"IPI00333662"	NA
NA	"IPI00334271"	NA
NA	"IPI00334282"	NA
NA	"IPI00334347"	NA
NA	"IPI00334513"	NA
NA	"IPI00334514"	NA
NA	"IPI00334775"	NA
NA	"IPI00334799"	NA
NA	"IPI00335614"	NA
NA	"IPI00335753"	NA
NA	"IPI00335789"	NA
NA	"IPI00336047"	NA
NA	"IPI00336075"	NA
NA	"IPI00339223"	NA
NA	"IPI00339225"	NA
NA	"IPI00339227"	NA
NA	"IPI00339228"	NA
NA	"IPI00374128"	NA
NA	"IPI00374551"	NA
NA	"IPI00375746"	NA
NA	"IPI00375843"	NA
NA	"IPI00376005"	NA
NA	"IPI00376163"	NA
NA	"IPI00376403"	NA
NA	"IPI00376441"	NA
NA	"IPI00376942"	NA
NA	"IPI00377025"	NA
NA	"IPI00377087"	NA
NA	"IPI00382404"	NA
NA	"IPI00382405"	NA
NA	"IPI00382470"	NA
NA	"IPI00382696"	NA
NA	"IPI00382697"	NA
NA	"IPI00382698"	NA
NA	"IPI00382699"	NA
NA	"IPI00382700"	NA
NA	"IPI00382727"	NA
NA	"IPI00382937"	NA
NA	"IPI00382938"	NA
NA	"IPI00383105"	NA
NA	"IPI00383111"	NA
NA	"IPI00383406"	NA
NA	"IPI00383467"	NA
NA	"IPI00383539"	NA
NA	"IPI00383717"	NA
NA	"IPI00383758"	NA
NA	"IPI00383814"	NA
NA	"IPI00383815"	NA
NA	"IPI00383932"	NA
NA	"IPI00384121"	NA
NA	"IPI00384293"	NA
NA	"IPI00384697"	NA
NA	"IPI00384783"	NA
NA	"IPI00384948"	NA
NA	"IPI00385294"	NA
NA	"IPI00385332"	NA
NA	"IPI00385804"	NA
NA	"IPI00386259"	NA
NA	"IPI00386427"	NA
NA	"IPI00386438"	NA
NA	"IPI00386604"	NA
NA	"IPI00386785"	NA
NA	"IPI00386809"	NA
NA	"IPI00394834"	NA
NA	"IPI00394838"	NA
NA	"IPI00394992"	NA
NA	"IPI00395398"	NA
NA	"IPI00395655"	NA
NA	"IPI00396485"	NA
NA	"IPI00396929"	NA
NA	"IPI00396930"	NA
NA	"IPI00397198"	NA
NA	"IPI00397204"	NA
NA	"IPI00397676"	NA
NA	"IPI00397801"	NA
NA	"IPI00397949"	NA
NA	"IPI00397984"	NA
NA	"IPI00398700"	NA
NA	"IPI00398768"	NA
NA	"IPI00398855"	NA
NA	"IPI00398958"	NA
NA	"IPI00399190"	NA
NA	"IPI00399193"	NA
NA	"IPI00400826"	NA
NA	"IPI00401264"	NA
NA	"IPI00401614"	NA
NA	"IPI00410017"	NA
NA	"IPI00410152"	NA
NA	"IPI00410240"	NA
NA	"IPI00410377"	NA
NA	"IPI00410714"	NA
NA	"IPI00411463"	NA
NA	"IPI00411506"	NA
NA	"IPI00411637"	NA
NA	"IPI00411680"	NA
NA	"IPI00411692"	NA
NA	"IPI00411726"	NA
NA	"IPI00411834"	NA
NA	"IPI00411959"	NA
NA	"IPI00412044"	NA
NA	"IPI00412365"	NA
NA	"IPI00412420"	NA
NA	"IPI00412473"	NA
NA	"IPI00412556"	NA
NA	"IPI00412608"	NA
NA	"IPI00412663"	NA
NA	"IPI00412681"	NA
NA	"IPI00412853"	NA
NA	"IPI00412929"	NA
NA	"IPI00413112"	NA
NA	"IPI00413201"	NA
NA	"IPI00413368"	NA
NA	"IPI00413508"	NA
NA	"IPI00413800"	NA
NA	"IPI00413826"	NA
NA	"IPI00413835"	NA
NA	"IPI00413922"	NA
NA	"IPI00414123"	NA
NA	"IPI00414138"	NA
NA	"IPI00414173"	NA
NA	"IPI00414282"	NA
NA	"IPI00414283"	NA
NA	"IPI00414315"	NA
NA	"IPI00414489"	NA
NA	"IPI00414499"	NA
NA	"IPI00414676"	NA
NA	"IPI00414694"	NA
NA	"IPI00414717"	NA
NA	"IPI00414741"	NA
NA	"IPI00414759"	NA
NA	"IPI00414835"	NA
NA	"IPI00414913"	NA
NA	"IPI00415056"	NA
NA	"IPI00418138"	NA
NA	"IPI00418262"	NA
NA	"IPI00418376"	NA
NA	"IPI00418411"	NA
NA	"IPI00418422"	NA
NA	"IPI00418446"	NA
NA	"IPI00418465"	NA
NA	"IPI00418471"	NA
NA	"IPI00418512"	NA
NA	"IPI00418663"	NA
NA	"IPI00418800"	NA
NA	"IPI00418813"	NA
NA	"IPI00419164"	NA
NA	"IPI00419219"	NA
NA	"IPI00419262"	NA
NA	"IPI00419307"	NA
NA	"IPI00419424"	NA
NA	"IPI00419433"	NA
NA	"IPI00419442"	NA
NA	"IPI00419517"	NA
NA	"IPI00419574"	NA
NA	"IPI00419585"	NA
NA	"IPI00419920"	NA
NA	"IPI00420079"	NA
NA	"IPI00423462"	NA
NA	"IPI00425976"	NA
NA	"IPI00426051"	NA
NA	"IPI00430820"	NA
NA	"IPI00430840"	NA
NA	"IPI00430842"	NA
NA	"IPI00430844"	NA
NA	"IPI00430847"	NA
