"Common A B"	"Unique A"	"Unique B"
NA	NA	"P51858"
NA	NA	"P52209"
NA	NA	"P52272"
NA	NA	"P52790"
NA	NA	"P52815"
NA	NA	"P52907"
NA	NA	"P53004"
NA	NA	"P53602"
NA	NA	"P53999"
NA	NA	"P54277"
NA	NA	"P54652"
NA	NA	"P54727"
NA	NA	"P54753"
NA	NA	"P54819"
NA	NA	"P55000"
NA	NA	"P55008"
NA	NA	"P55060"
NA	NA	"P55145"
NA	NA	"P55263"
NA	NA	"P55957"
NA	NA	"P56537"
NA	NA	"P58107"
NA	NA	"P58546"
NA	NA	"P59510"
NA	NA	"P59826"
NA	NA	"P59998"
NA	NA	"P60174"
NA	NA	"P60953"
NA	NA	"P60985"
NA	NA	"P61026"
NA	NA	"P61088"
NA	NA	"P61160"
NA	NA	"P61204"
NA	NA	"P61224"
NA	NA	"P61457"
NA	NA	"P61626"
NA	NA	"P61960"
NA	NA	"P61970"
NA	NA	"P61981"
NA	NA	"P62136"
NA	NA	"P62314"
NA	NA	"P62318"
NA	NA	"P62328"
NA	NA	"P62491"
NA	NA	"P62745"
NA	NA	"P62805"
NA	NA	"P62888"
NA	NA	"P62937"
NA	NA	"P62993"
NA	NA	"P63104"
NA	NA	"P63279"
NA	NA	"P67936"
NA	NA	"P68036"
NA	NA	"P68133"
NA	NA	"P68431"
NA	NA	"P68871"
NA	NA	"P69905"
NA	NA	"P78380"
NA	NA	"P78417"
NA	NA	"P80188"
NA	NA	"P80723"
NA	NA	"P84243"
NA	NA	"P98088"
NA	NA	"Q00839"
NA	NA	"Q01082"
NA	NA	"Q01469"
NA	NA	"Q02224"
NA	NA	"Q03252"
NA	NA	"Q04446"
NA	NA	"Q04637"
NA	NA	"Q04760"
NA	NA	"Q05315"
NA	NA	"Q05639"
NA	NA	"Q06323"
NA	NA	"Q07654"
NA	NA	"Q07960"
NA	NA	"Q10567"
NA	NA	"Q10588"
NA	NA	"Q12841"
NA	NA	"Q12906"
NA	NA	"Q12907"
NA	NA	"Q12912"
NA	NA	"Q13011"
NA	NA	"Q13158"
NA	NA	"Q13200"
NA	NA	"Q13231"
NA	NA	"Q13349"
NA	NA	"Q13404"
NA	NA	"Q13409"
NA	NA	"Q13474"
NA	NA	"Q13823"
NA	NA	"Q14019"
NA	NA	"Q14103"
NA	NA	"Q14134"
NA	NA	"Q14210"
NA	NA	"Q14247"
NA	NA	"Q14376"
NA	NA	"Q14520"
NA	NA	"Q14571"
NA	NA	"Q14602"
NA	NA	"Q14686"
NA	NA	"Q14739"
NA	NA	"Q14974"
NA	NA	"Q14CN2"
NA	NA	"Q15067"
NA	NA	"Q15080"
NA	NA	"Q15084"
NA	NA	"Q15121"
NA	NA	"Q15181"
NA	NA	"Q15233"
NA	NA	"Q15257"
NA	NA	"Q15365"
NA	NA	"Q15404"
NA	NA	"Q15631"
NA	NA	"Q15782"
NA	NA	"Q15843"
NA	NA	"Q15907"
NA	NA	"Q16539"
NA	NA	"Q16543"
NA	NA	"Q16651"
NA	NA	"Q16778"
NA	NA	"Q16881"
NA	NA	"Q1KMD3"
NA	NA	"Q2I0M4"
NA	NA	"Q2NKQ1"
NA	NA	"Q32MZ4"
NA	NA	"Q32P51"
NA	NA	"Q3ZCW2"
NA	NA	"Q4KMQ2"
NA	NA	"Q4VNC1"
NA	NA	"Q53FA7"
NA	NA	"Q562R1"
NA	NA	"Q56UQ5"
NA	NA	"Q5JS37"
NA	NA	"Q5JU00"
NA	NA	"Q5QNW6"
NA	NA	"Q5SNT2"
NA	NA	"Q5SSG8"
NA	NA	"Q5T0F9"
NA	NA	"Q5T7N2"
NA	NA	"Q5TEC6"
NA	NA	"Q5TFQ8"
NA	NA	"Q5VU65"
NA	NA	"Q5VVP1"
NA	NA	"Q66K66"
NA	NA	"Q685J3"
NA	NA	"Q68CZ6"
NA	NA	"Q6IBS0"
NA	NA	"Q6IS14"
NA	NA	"Q6MZM0"
NA	NA	"Q6N069"
NA	NA	"Q6P4A8"
NA	NA	"Q6TFL3"
NA	NA	"Q6UE05"
NA	NA	"Q6UW32"
NA	NA	"Q6UX73"
NA	NA	"Q6UXD5"
NA	NA	"Q6WRI0"
NA	NA	"Q6XQN6"
NA	NA	"Q6YHK3"
NA	NA	"Q6ZMH5"
NA	NA	"Q6ZN66"
NA	NA	"Q6ZP82"
NA	NA	"Q6ZR08"
NA	NA	"Q6ZRP7"
NA	NA	"Q6ZS30"
NA	NA	"Q709C8"
NA	NA	"Q71DI3"
NA	NA	"Q71UI9"
NA	NA	"Q7RTS5"
NA	NA	"Q7Z333"
NA	NA	"Q7Z4W1"
NA	NA	"Q7Z7L7"
NA	NA	"Q86SG5"
NA	NA	"Q86T26"
NA	NA	"Q86UQ4"
NA	NA	"Q86UX6"
NA	NA	"Q86V81"
NA	NA	"Q86VD7"
NA	NA	"Q86XX4"
NA	NA	"Q86YA3"
NA	NA	"Q8IUE6"
NA	NA	"Q8IVF2"
NA	NA	"Q8IYS5"
NA	NA	"Q8N0Y7"
NA	NA	"Q8N130"
NA	NA	"Q8N441"
NA	NA	"Q8N474"
NA	NA	"Q8N4H0"
NA	NA	"Q8N9V7"
NA	NA	"Q8NBJ4"
NA	NA	"Q8NC42"
NA	NA	"Q8NC51"
NA	NA	"Q8NC69"
NA	NA	"Q8NCW5"
NA	NA	"Q8NDA2"
NA	NA	"Q8NFT8"
NA	NA	"Q8NFZ8"
NA	NA	"Q8NGJ9"
NA	NA	"Q8NH60"
NA	NA	"Q8NHB1"
NA	NA	"Q8NHV4"
NA	NA	"Q8NI22"
NA	NA	"Q8NI32"
NA	NA	"Q8TAG9"
NA	NA	"Q8TD55"
NA	NA	"Q8TE68"
NA	NA	"Q8TF32"
NA	NA	"Q8WV93"
NA	NA	"Q8WVX9"
NA	NA	"Q8WWI1"
NA	NA	"Q8WXI7"
NA	NA	"Q92558"
NA	NA	"Q92736"
NA	NA	"Q92882"
NA	NA	"Q93033"
NA	NA	"Q969H8"
NA	NA	"Q969T9"
NA	NA	"Q969U6"
NA	NA	"Q969W0"
NA	NA	"Q96BD6"
NA	NA	"Q96BM9"
NA	NA	"Q96C19"
NA	NA	"Q96C90"
NA	NA	"Q96DA0"
NA	NA	"Q96DV4"
NA	NA	"Q96G03"
NA	NA	"Q96HW7"
NA	NA	"Q96IU4"
NA	NA	"Q96JY6"
NA	NA	"Q96KP4"
NA	NA	"Q96L46"
NA	NA	"Q96NE9"
NA	NA	"Q96QH2"
NA	NA	"Q96QR1"
NA	NA	"Q96RM1"
NA	NA	"Q99439"
NA	NA	"Q99459"
NA	NA	"Q99536"
NA	NA	"Q99598"
NA	NA	"Q99640"
NA	NA	"Q99650"
NA	NA	"Q99829"
NA	NA	"Q99895"
NA	NA	"Q99935"
NA	NA	"Q9BRA2"
NA	NA	"Q9BRF8"
NA	NA	"Q9BRZ2"
NA	NA	"Q9BS26"
NA	NA	"Q9BUP0"
NA	NA	"Q9BWS9"
NA	NA	"Q9BYE4"
NA	NA	"Q9BZG1"
NA	NA	"Q9C005"
NA	NA	"Q9GZL7"
NA	NA	"Q9H0W9"
NA	NA	"Q9H173"
NA	NA	"Q9H299"
NA	NA	"Q9H2G2"
NA	NA	"Q9H4M9"
NA	NA	"Q9H7P6"
NA	NA	"Q9H993"
NA	NA	"Q9HB71"
NA	NA	"Q9HB90"
NA	NA	"Q9HC38"
NA	NA	"Q9HD89"
NA	NA	"Q9NQ38"
NA	NA	"Q9NR09"
NA	NA	"Q9NR16"
NA	NA	"Q9NRA1"
NA	NA	"Q9NTM9"
NA	NA	"Q9NUQ9"
NA	NA	"Q9NVF9"
NA	NA	"Q9NVV5"
NA	NA	"Q9NY33"
NA	NA	"Q9NYL9"
NA	NA	"Q9NYY8"
NA	NA	"Q9NZD2"
NA	NA	"Q9NZM3"
NA	NA	"Q9NZP8"
NA	NA	"Q9P1F3"
NA	NA	"Q9P1U1"
NA	NA	"Q9P1W8"
NA	NA	"Q9P2E3"
NA	NA	"Q9P2E9"
NA	NA	"Q9UBH0"
NA	NA	"Q9UF56"
NA	NA	"Q9UGP8"
NA	NA	"Q9UHA4"
NA	NA	"Q9UI43"
NA	NA	"Q9UIF7"
NA	NA	"Q9UII2"
NA	NA	"Q9UIJ7"
NA	NA	"Q9UIX4"
NA	NA	"Q9UJ68"
NA	NA	"Q9UJ70"
NA	NA	"Q9UK45"
NA	NA	"Q9UKK9"
NA	NA	"Q9UKN5"
NA	NA	"Q9UKQ9"
NA	NA	"Q9UL46"
NA	NA	"Q9ULC6"
NA	NA	"Q9ULV4"
NA	NA	"Q9ULZ3"
NA	NA	"Q9UM07"
NA	NA	"Q9UM82"
NA	NA	"Q9UQB3"
NA	NA	"Q9Y224"
NA	NA	"Q9Y252"
NA	NA	"Q9Y266"
NA	NA	"Q9Y2J8"
NA	NA	"Q9Y376"
NA	NA	"Q9Y3B3"
NA	NA	"Q9Y3D6"
NA	NA	"Q9Y490"
NA	NA	"Q9Y4K3"
NA	NA	"Q9Y624"
NA	NA	"Q9Y672"
NA	NA	"Q9Y6U3"
